"Gene","lfc","padj","Significant","Regulation","Species","Strain","Daterange"
"ADM",0.89596875798194,0.100640401919678,FALSE,"None","Cyno","9530537","4"
"ADNP",-0.176554255565404,0.491621056031604,FALSE,"None","Cyno","9530537","4"
"ADO",0.0391249016896574,0.943074678022248,FALSE,"None","Cyno","9530537","4"
"ADORA1",0.625280822966978,0.111983584125732,FALSE,"None","Cyno","9530537","4"
"ADORA2A",-0.304589937034558,0.271117250486795,FALSE,"None","Cyno","9530537","4"
"ADORA2B",-0.203803503968602,0.526143889547268,FALSE,"None","Cyno","9530537","4"
"ADPRH",0.625676707208942,0.00495816062726381,FALSE,"None","Cyno","9530537","4"
"ADPRHL1",-0.14260099965461,0.740231822721924,FALSE,"None","Cyno","9530537","4"
"ADPRM",0.323512665567508,0.188034984707701,FALSE,"None","Cyno","9530537","4"
"ADPRS",0.138144919778387,0.659748965831196,FALSE,"None","Cyno","9530537","4"
"ADRA1A",-0.0858532510929815,0.793127912853052,FALSE,"None","Cyno","9530537","4"
"ADRA1B",-0.188190599151309,0.622800468242114,FALSE,"None","Cyno","9530537","4"
"ADRA1D",1.53550556965684,5.98549758929393e-06,FALSE,"None","Cyno","9530537","4"
"ADRA2B",-0.00410308759377646,0.988454574239308,FALSE,"None","Cyno","9530537","4"
"ADRB2",-0.249176299310674,0.450364769884351,FALSE,"None","Cyno","9530537","4"
"ADRM1",-0.291467910525743,0.145216714696061,FALSE,"None","Cyno","9530537","4"
"ADSL",-0.0943547995623919,0.729531114042027,FALSE,"None","Cyno","9530537","4"
"ADSS",0.027438565678491,0.951107874610661,FALSE,"None","Cyno","9530537","4"
